case_number,date,block,latitude,longitude,ward,fatal
JJ502593,2025-11-25 23:18:00,7700 S CARPENTER ST,41.75317244414193,-87.64959664387966,17.0,True
JJ502584,2025-11-25 23:15:00,4900 N HARDING AVE,41.97044690414193,-87.72648094130076,39.0,False
JJ502336,2025-11-25 18:00:00,5600 S WOOD ST,41.79042690414193,-87.66976905869923,15.0,False
JJ501497,2025-11-25 03:30:00,6500 S KEATING AVE,41.77388165414193,-87.74152534612034,13.0,False
JJ501167,2025-11-24 18:48:00,8800 S BURLEY AVE,41.73489165414193,-87.54636534612034,10.0,False
JJ500249,2025-11-24 01:20:00,3300 W 25TH ST,41.84664309585807,-87.70987905869923,25.0,False
JJ500111,2025-11-23 21:00:00,1200 S INDEPENDENCE BLVD,41.86656309585807,-87.71910094130077,24.0,False
JJ500111,2025-11-23 21:00:00,1200 S INDEPENDENCE BLVD,41.86656309585807,-87.71910094130077,24.0,True
JJ500077,2025-11-23 17:00:00,11700 S LAFAYETTE AVE,41.68076965185093,-87.62435396269434,9.0,False
JJ499595,2025-11-23 12:59:00,7800 S EAST END AVE,41.7513905,-87.58346,8.0,False
JJ499312,2025-11-23 06:15:00,1300 N HAMLIN AVE,41.90553834585807,-87.72122465387966,36.0,False
JJ499338,2025-11-23 05:46:00,200 S WABASH AVE,41.87904834585807,-87.62668534612034,34.0,True
JJ499294,2025-11-23 04:40:00,1900 S WABASH AVE,41.85560690414193,-87.62545094130077,3.0,False
JJ499104,2025-11-22 22:50:00,4700 S DR MARTIN LUTHER KING JR DR,41.80870690414193,-87.61646094130077,3.0,False
JJ499055,2025-11-22 21:13:00,11700 S HALSTED ST,41.6804905,-87.64187,21.0,False
JJ498997,2025-11-22 19:33:00,3600 W GRENSHAW ST,41.86710165414193,-87.71790534612035,24.0,False
JJ498887,2025-11-22 17:33:00,3300 W FLOURNOY ST,41.87267165414193,-87.70953534612035,24.0,False
JJ498679,2025-11-22 14:33:00,5800 W DIVERSEY AVE,41.93154824302707,-87.77197785998123,30.0,False
JJ498635,2025-11-22 13:49:00,2800 W CERMAK RD,41.85139049999999,-87.69603,24.0,False
JJ498370,2025-11-22 09:15:00,8400 S VINCENNES AVE,41.74094966894668,-87.63882854747082,21.0,False
JJ498370,2025-11-22 09:15:00,8400 S VINCENNES AVE,41.74094966894668,-87.63882854747082,21.0,False
JJ498109,2025-11-22 01:17:00,800 N WALLER AVE,41.89585009485807,-87.76782102269924,29.0,False
JJ498109,2025-11-22 01:17:00,800 N WALLER AVE,41.89585009485807,-87.76782102269924,29.0,True
JJ498040,2025-11-21 23:43:00,0 W 111TH ST,41.69326966894668,-87.62323854747082,9.0,False
JJ498040,2025-11-21 23:43:00,0 W 111TH ST,41.69326966894668,-87.62323854747082,9.0,True
JJ498045,2025-11-21 22:43:00,100 S DEARBORN ST,41.87926049999999,-87.62921,34.0,False
JJ498045,2025-11-21 22:43:00,100 S DEARBORN ST,41.87926049999999,-87.62921,34.0,True
JJ498050,2025-11-21 21:50:00,100 N STATE ST,41.88583966894669,-87.62763854747082,42.0,False
JJ498050,2025-11-21 21:50:00,100 N STATE ST,41.88583966894669,-87.62763854747082,42.0,False
JJ498050,2025-11-21 21:50:00,100 N STATE ST,41.88583966894669,-87.62763854747082,42.0,False
JJ498050,2025-11-21 21:50:00,100 N STATE ST,41.88583966894669,-87.62763854747082,42.0,False
JJ498050,2025-11-21 21:50:00,100 N STATE ST,41.88583966894669,-87.62763854747082,42.0,False
JJ498050,2025-11-21 21:50:00,100 N STATE ST,41.88583966894669,-87.62763854747082,42.0,False
JJ498050,2025-11-21 21:50:00,100 N STATE ST,41.88583966894669,-87.62763854747082,42.0,False
JJ497920,2025-11-21 19:51:00,1700 W 18TH ST,41.85821966894669,-87.66876854747082,25.0,False
JJ497920,2025-11-21 19:51:00,1700 W 18TH ST,41.85821966894669,-87.66876854747082,25.0,False
JJ497610,2025-11-21 16:19:00,600 W DIVISION ST,41.90414966894669,-87.64509854747082,27.0,True
JJ497573,2025-11-21 15:57:00,5900 W MADISON ST,41.88002165414193,-87.77331465387967,29.0,False
JJ496890,2025-11-21 03:40:00,4500 W FIFTH AVE,41.87008966894668,-87.73823854747083,24.0,False
JJ496890,2025-11-21 03:40:00,4500 W FIFTH AVE,41.87008966894668,-87.73823854747083,24.0,False
JJ496890,2025-11-21 03:40:00,4500 W FIFTH AVE,41.87008966894668,-87.73823854747083,24.0,True
JJ496761,2025-11-20 22:38:00,0 W 112TH PL,41.69044309585807,-87.62534094130076,9.0,True
JJ495465,2025-11-19 20:03:00,3500 S RICHMOND ST,41.8277605,-87.69857,12.0,False
JJ493252,2025-11-17 23:48:00,2800 W 63RD ST,41.77940834585807,-87.69308465387967,16.0,False
JJ492037,2025-11-16 23:30:00,5500 S WABASH AVE,41.79400165414193,-87.62465534612033,20.0,False
